"time","multiSwitch.u[1]","multiSwitch.u[2]"
0,1,1
0.002,1,1
0.004,1,1
0.006,1,1
0.008,1,1
0.01,1,1
0.012,1,1
0.014,1,1
0.016,1,1
0.018,1,1
0.02,1,1
0.022,1,1
0.024,1,1
0.026,1,1
0.028,1,1
0.03,1,1
0.032,1,1
0.034,1,1
0.036,1,1
0.038,1,1
0.04,1,1
0.042,1,1
0.044,1,1
0.046,1,1
0.048,1,1
0.05,1,1
0.052,1,1
0.054,1,1
0.056,1,1
0.058,1,1
0.06,1,1
0.062,1,1
0.064,1,1
0.066,1,1
0.068,1,1
0.07,1,1
0.072,1,1
0.074,1,1
0.076,1,1
0.078,1,1
0.08,1,1
0.082,1,1
0.084,1,1
0.086,1,1
0.088,1,1
0.09,1,1
0.092,1,1
0.094,1,1
0.096,1,1
0.098,1,1
0.1,1,1
0.102,1,1
0.104,1,1
0.106,1,1
0.108,1,1
0.11,1,1
0.112,1,1
0.114,1,1
0.116,1,1
0.118,1,1
0.12,1,1
0.122,1,1
0.124,1,1
0.126,1,1
0.128,1,1
0.13,1,1
0.132,1,1
0.134,1,1
0.136,1,1
0.138,1,1
0.14,1,1
0.142,1,1
0.144,1,1
0.146,1,1
0.148,1,1
0.15,1,1
0.152,1,1
0.154,1,1
0.156,1,1
0.158,1,1
0.16,1,1
0.162,1,1
0.164,1,1
0.166,1,1
0.168,1,1
0.17,1,1
0.172,1,1
0.174,1,1
0.176,1,1
0.178,1,1
0.18,1,1
0.182,1,1
0.184,1,1
0.186,1,1
0.188,1,1
0.19,1,1
0.192,1,1
0.194,1,1
0.196,1,1
0.198,1,1
0.2,1,1
0.202,1,1
0.204,1,1
0.206,1,1
0.208,1,1
0.21,1,1
0.212,1,1
0.214,1,1
0.216,1,1
0.218,1,1
0.22,1,1
0.222,1,1
0.224,1,1
0.226,1,1
0.228,1,1
0.23,1,1
0.232,1,1
0.234,1,1
0.236,1,1
0.238,1,1
0.24,1,1
0.242,1,1
0.244,1,1
0.246,1,1
0.248,1,1
0.25,1,1
0.252,1,1
0.254,1,1
0.256,1,1
0.258,1,1
0.26,1,1
0.262,1,1
0.264,1,1
0.266,1,1
0.268,1,1
0.27,1,1
0.272,1,1
0.274,1,1
0.276,1,1
0.278,1,1
0.28,1,1
0.282,1,1
0.284,1,1
0.286,1,1
0.288,1,1
0.29,1,1
0.292,1,1
0.294,1,1
0.296,1,1
0.298,1,1
0.3,1,1
0.302,1,1
0.304,1,1
0.306,1,1
0.308,1,1
0.31,1,1
0.312,1,1
0.314,1,1
0.316,1,1
0.318,1,1
0.32,1,1
0.322,1,1
0.324,1,1
0.326,1,1
0.328,1,1
0.33,1,1
0.332,1,1
0.334,1,1
0.336,1,1
0.338,1,1
0.34,1,1
0.342,1,1
0.344,1,1
0.346,1,1
0.348,1,1
0.35,1,1
0.352,1,1
0.354,1,1
0.356,1,1
0.358,1,1
0.36,1,1
0.362,1,1
0.364,1,1
0.366,1,1
0.368,1,1
0.37,1,1
0.372,1,1
0.374,1,1
0.376,1,1
0.378,1,1
0.38,1,1
0.382,1,1
0.384,1,1
0.386,1,1
0.388,1,1
0.39,1,1
0.392,1,1
0.394,1,1
0.396,1,1
0.398,1,1
0.4,1,1
0.402,1,1
0.404,1,1
0.406,1,1
0.408,1,1
0.41,1,1
0.412,1,1
0.414,1,1
0.416,1,1
0.418,1,1
0.42,1,1
0.422,1,1
0.424,1,1
0.426,1,1
0.428,1,1
0.43,1,1
0.432,1,1
0.434,1,1
0.436,1,1
0.438,1,1
0.44,1,1
0.442,1,1
0.444,1,1
0.446,1,1
0.448,1,1
0.45,1,1
0.452,1,1
0.454,1,1
0.456,1,1
0.458,1,1
0.46,1,1
0.462,1,1
0.464,1,1
0.466,1,1
0.468,1,1
0.47,1,1
0.472,1,1
0.474,1,1
0.476,1,1
0.478,1,1
0.48,1,1
0.482,1,1
0.484,1,1
0.486,1,1
0.488,1,1
0.49,1,1
0.492,1,1
0.494,1,1
0.496,1,1
0.498,1,1
0.5,1,1
0.5,0,1
0.502,0,1
0.504,0,1
0.506,0,1
0.508,0,1
0.51,0,1
0.512,0,1
0.514,0,1
0.516,0,1
0.518,0,1
0.52,0,1
0.522,0,1
0.524,0,1
0.526,0,1
0.528,0,1
0.53,0,1
0.532,0,1
0.534,0,1
0.536,0,1
0.538,0,1
0.54,0,1
0.542,0,1
0.544,0,1
0.546,0,1
0.548,0,1
0.55,0,1
0.552,0,1
0.554,0,1
0.556,0,1
0.558,0,1
0.56,0,1
0.562,0,1
0.564,0,1
0.566,0,1
0.568,0,1
0.57,0,1
0.572,0,1
0.574,0,1
0.576,0,1
0.578,0,1
0.58,0,1
0.582,0,1
0.584,0,1
0.586,0,1
0.588,0,1
0.59,0,1
0.592,0,1
0.594,0,1
0.596,0,1
0.598,0,1
0.6,0,1
0.602,0,1
0.604,0,1
0.606,0,1
0.608,0,1
0.61,0,1
0.612,0,1
0.614,0,1
0.616,0,1
0.618,0,1
0.62,0,1
0.622,0,1
0.624,0,1
0.626,0,1
0.628,0,1
0.63,0,1
0.632,0,1
0.634,0,1
0.636,0,1
0.638,0,1
0.64,0,1
0.642,0,1
0.644,0,1
0.646,0,1
0.648,0,1
0.65,0,1
0.652,0,1
0.654,0,1
0.656,0,1
0.658,0,1
0.66,0,1
0.662,0,1
0.664,0,1
0.666,0,1
0.668,0,1
0.67,0,1
0.672,0,1
0.674,0,1
0.676,0,1
0.678,0,1
0.68,0,1
0.682,0,1
0.684,0,1
0.686,0,1
0.688,0,1
0.69,0,1
0.692,0,1
0.694,0,1
0.696,0,1
0.698,0,1
0.7,0,1
0.702,0,1
0.704,0,1
0.706,0,1
0.708,0,1
0.71,0,1
0.712,0,1
0.714,0,1
0.716,0,1
0.718,0,1
0.72,0,1
0.722,0,1
0.724,0,1
0.726,0,1
0.728,0,1
0.73,0,1
0.732,0,1
0.734,0,1
0.736,0,1
0.738,0,1
0.74,0,1
0.742,0,1
0.744,0,1
0.746,0,1
0.748,0,1
0.75,0,1
0.752,0,1
0.754,0,1
0.756,0,1
0.758,0,1
0.76,0,1
0.762,0,1
0.764,0,1
0.766,0,1
0.768,0,1
0.77,0,1
0.772,0,1
0.774,0,1
0.776,0,1
0.778,0,1
0.78,0,1
0.782,0,1
0.784,0,1
0.786,0,1
0.788,0,1
0.79,0,1
0.792,0,1
0.794,0,1
0.796,0,1
0.798,0,1
0.8,0,1
0.802,0,1
0.804,0,1
0.806,0,1
0.808,0,1
0.81,0,1
0.812,0,1
0.814,0,1
0.816,0,1
0.818,0,1
0.82,0,1
0.822,0,1
0.824,0,1
0.826,0,1
0.828,0,1
0.83,0,1
0.832,0,1
0.834,0,1
0.836,0,1
0.838,0,1
0.84,0,1
0.842,0,1
0.844,0,1
0.846,0,1
0.848,0,1
0.85,0,1
0.852,0,1
0.854,0,1
0.856,0,1
0.858,0,1
0.86,0,1
0.862,0,1
0.864,0,1
0.866,0,1
0.868,0,1
0.87,0,1
0.872,0,1
0.874,0,1
0.876,0,1
0.878,0,1
0.88,0,1
0.882,0,1
0.884,0,1
0.886,0,1
0.888,0,1
0.89,0,1
0.892,0,1
0.894,0,1
0.896,0,1
0.898,0,1
0.9,0,1
0.902,0,1
0.904,0,1
0.906,0,1
0.908,0,1
0.91,0,1
0.912,0,1
0.914,0,1
0.916,0,1
0.918,0,1
0.92,0,1
0.922,0,1
0.924,0,1
0.926,0,1
0.928,0,1
0.93,0,1
0.932,0,1
0.934,0,1
0.936,0,1
0.938,0,1
0.94,0,1
0.942,0,1
0.944,0,1
0.946,0,1
0.948,0,1
0.95,0,1
0.952,0,1
0.954,0,1
0.956,0,1
0.958,0,1
0.96,0,1
0.962,0,1
0.964,0,1
0.966,0,1
0.968,0,1
0.97,0,1
0.972,0,1
0.974,0,1
0.976,0,1
0.978,0,1
0.98,0,1
0.982,0,1
0.984,0,1
0.986,0,1
0.988,0,1
0.99,0,1
0.992,0,1
0.994,0,1
0.996,0,1
0.998,0,1
1,0,1
1,1,1
1.002,1,1
1.004,1,1
1.006,1,1
1.008,1,1
1.01,1,1
1.012,1,1
1.014,1,1
1.016,1,1
1.018,1,1
1.02,1,1
1.022,1,1
1.024,1,1
1.026,1,1
1.028,1,1
1.03,1,1
1.032,1,1
1.034,1,1
1.036,1,1
1.038,1,1
1.04,1,1
1.042,1,1
1.044,1,1
1.046,1,1
1.048,1,1
1.05,1,1
1.052,1,1
1.054,1,1
1.056,1,1
1.058,1,1
1.06,1,1
1.062,1,1
1.064,1,1
1.066,1,1
1.068,1,1
1.07,1,1
1.072,1,1
1.074,1,1
1.076,1,1
1.078,1,1
1.08,1,1
1.082,1,1
1.084,1,1
1.086,1,1
1.088,1,1
1.09,1,1
1.092,1,1
1.094,1,1
1.096,1,1
1.098,1,1
1.1,1,1
1.102,1,1
1.104,1,1
1.106,1,1
1.108,1,1
1.11,1,1
1.112,1,1
1.114,1,1
1.116,1,1
1.118,1,1
1.12,1,1
1.122,1,1
1.124,1,1
1.126,1,1
1.128,1,1
1.13,1,1
1.132,1,1
1.134,1,1
1.136,1,1
1.138,1,1
1.14,1,1
1.142,1,1
1.144,1,1
1.146,1,1
1.148,1,1
1.15,1,1
1.152,1,1
1.154,1,1
1.156,1,1
1.158,1,1
1.16,1,1
1.162,1,1
1.164,1,1
1.166,1,1
1.168,1,1
1.17,1,1
1.172,1,1
1.174,1,1
1.176,1,1
1.178,1,1
1.18,1,1
1.182,1,1
1.184,1,1
1.186,1,1
1.188,1,1
1.19,1,1
1.192,1,1
1.194,1,1
1.196,1,1
1.198,1,1
1.2,1,1
1.202,1,1
1.204,1,1
1.206,1,1
1.208,1,1
1.21,1,1
1.212,1,1
1.214,1,1
1.216,1,1
1.218,1,1
1.22,1,1
1.222,1,1
1.224,1,1
1.226,1,1
1.228,1,1
1.23,1,1
1.232,1,1
1.234,1,1
1.236,1,1
1.238,1,1
1.24,1,1
1.242,1,1
1.244,1,1
1.246,1,1
1.248,1,1
1.25,1,1
1.252,1,1
1.254,1,1
1.256,1,1
1.258,1,1
1.26,1,1
1.262,1,1
1.264,1,1
1.266,1,1
1.268,1,1
1.27,1,1
1.272,1,1
1.274,1,1
1.276,1,1
1.278,1,1
1.28,1,1
1.282,1,1
1.284,1,1
1.286,1,1
1.288,1,1
1.29,1,1
1.292,1,1
1.294,1,1
1.296,1,1
1.298,1,1
1.3,1,1
1.302,1,1
1.304,1,1
1.306,1,1
1.308,1,1
1.31,1,1
1.312,1,1
1.314,1,1
1.316,1,1
1.318,1,1
1.32,1,1
1.322,1,1
1.324,1,1
1.326,1,1
1.328,1,1
1.33,1,1
1.332,1,1
1.334,1,1
1.336,1,1
1.338,1,1
1.34,1,1
1.342,1,1
1.344,1,1
1.346,1,1
1.348,1,1
1.35,1,1
1.352,1,1
1.354,1,1
1.356,1,1
1.358,1,1
1.36,1,1
1.362,1,1
1.364,1,1
1.366,1,1
1.368,1,1
1.37,1,1
1.372,1,1
1.374,1,1
1.376,1,1
1.378,1,1
1.38,1,1
1.382,1,1
1.384,1,1
1.386,1,1
1.388,1,1
1.39,1,1
1.392,1,1
1.394,1,1
1.396,1,1
1.398,1,1
1.4,1,1
1.402,1,1
1.404,1,1
1.406,1,1
1.408,1,1
1.41,1,1
1.412,1,1
1.414,1,1
1.416,1,1
1.418,1,1
1.42,1,1
1.422,1,1
1.424,1,1
1.426,1,1
1.428,1,1
1.43,1,1
1.432,1,1
1.434,1,1
1.436,1,1
1.438,1,1
1.44,1,1
1.442,1,1
1.444,1,1
1.446,1,1
1.448,1,1
1.45,1,1
1.452,1,1
1.454,1,1
1.456,1,1
1.458,1,1
1.46,1,1
1.462,1,1
1.464,1,1
1.466,1,1
1.468,1,1
1.47,1,1
1.472,1,1
1.474,1,1
1.476,1,1
1.478,1,1
1.48,1,1
1.482,1,1
1.484,1,1
1.486,1,1
1.488,1,1
1.49,1,1
1.492,1,1
1.494,1,1
1.496,1,1
1.498,1,1
1.5,1,1
1.5,0,1
1.502,0,1
1.504,0,1
1.506,0,1
1.508,0,1
1.51,0,1
1.512,0,1
1.514,0,1
1.516,0,1
1.518,0,1
1.52,0,1
1.522,0,1
1.524,0,1
1.526,0,1
1.528,0,1
1.53,0,1
1.532,0,1
1.534,0,1
1.536,0,1
1.538,0,1
1.54,0,1
1.542,0,1
1.544,0,1
1.546,0,1
1.548,0,1
1.55,0,1
1.552,0,1
1.554,0,1
1.556,0,1
1.558,0,1
1.56,0,1
1.562,0,1
1.564,0,1
1.566,0,1
1.568,0,1
1.57,0,1
1.572,0,1
1.574,0,1
1.576,0,1
1.578,0,1
1.58,0,1
1.582,0,1
1.584,0,1
1.586,0,1
1.588,0,1
1.59,0,1
1.592,0,1
1.594,0,1
1.596,0,1
1.598,0,1
1.6,0,1
1.6,0,0
1.602,0,0
1.604,0,0
1.606,0,0
1.608,0,0
1.61,0,0
1.612,0,0
1.614,0,0
1.616,0,0
1.618,0,0
1.62,0,0
1.622,0,0
1.624,0,0
1.626,0,0
1.628,0,0
1.63,0,0
1.632,0,0
1.634,0,0
1.636,0,0
1.638,0,0
1.64,0,0
1.642,0,0
1.644,0,0
1.646,0,0
1.648,0,0
1.65,0,0
1.652,0,0
1.654,0,0
1.656,0,0
1.658,0,0
1.66,0,0
1.662,0,0
1.664,0,0
1.666,0,0
1.668,0,0
1.67,0,0
1.672,0,0
1.674,0,0
1.676,0,0
1.678,0,0
1.68,0,0
1.682,0,0
1.684,0,0
1.686,0,0
1.688,0,0
1.69,0,0
1.692,0,0
1.694,0,0
1.696,0,0
1.698,0,0
1.7,0,0
1.702,0,0
1.704,0,0
1.706,0,0
1.708,0,0
1.71,0,0
1.712,0,0
1.714,0,0
1.716,0,0
1.718,0,0
1.72,0,0
1.722,0,0
1.724,0,0
1.726,0,0
1.728,0,0
1.73,0,0
1.732,0,0
1.734,0,0
1.736,0,0
1.738,0,0
1.74,0,0
1.742,0,0
1.744,0,0
1.746,0,0
1.748,0,0
1.75,0,0
1.752,0,0
1.754,0,0
1.756,0,0
1.758,0,0
1.76,0,0
1.762,0,0
1.764,0,0
1.766,0,0
1.768,0,0
1.77,0,0
1.772,0,0
1.774,0,0
1.776,0,0
1.778,0,0
1.78,0,0
1.782,0,0
1.784,0,0
1.786,0,0
1.788,0,0
1.79,0,0
1.792,0,0
1.794,0,0
1.796,0,0
1.798,0,0
1.8,0,0
1.802,0,0
1.804,0,0
1.806,0,0
1.808,0,0
1.81,0,0
1.812,0,0
1.814,0,0
1.816,0,0
1.818,0,0
1.82,0,0
1.822,0,0
1.824,0,0
1.826,0,0
1.828,0,0
1.83,0,0
1.832,0,0
1.834,0,0
1.836,0,0
1.838,0,0
1.84,0,0
1.842,0,0
1.844,0,0
1.846,0,0
1.848,0,0
1.85,0,0
1.852,0,0
1.854,0,0
1.856,0,0
1.858,0,0
1.86,0,0
1.862,0,0
1.864,0,0
1.866,0,0
1.868,0,0
1.87,0,0
1.872,0,0
1.874,0,0
1.876,0,0
1.878,0,0
1.88,0,0
1.882,0,0
1.884,0,0
1.886,0,0
1.888,0,0
1.89,0,0
1.892,0,0
1.894,0,0
1.896,0,0
1.898,0,0
1.9,0,0
1.902,0,0
1.904,0,0
1.906,0,0
1.908,0,0
1.91,0,0
1.912,0,0
1.914,0,0
1.916,0,0
1.918,0,0
1.92,0,0
1.922,0,0
1.924,0,0
1.926,0,0
1.928,0,0
1.93,0,0
1.932,0,0
1.934,0,0
1.936,0,0
1.938,0,0
1.94,0,0
1.942,0,0
1.944,0,0
1.946,0,0
1.948,0,0
1.95,0,0
1.952,0,0
1.954,0,0
1.956,0,0
1.958,0,0
1.96,0,0
1.962,0,0
1.964,0,0
1.966,0,0
1.968,0,0
1.97,0,0
1.972,0,0
1.974,0,0
1.976,0,0
1.978,0,0
1.98,0,0
1.982,0,0
1.984,0,0
1.986,0,0
1.988,0,0
1.99,0,0
1.992,0,0
1.994,0,0
1.996,0,0
1.998,0,0
2,0,0
2,1,1
2.002,1,1
2.004,1,1
2.006,1,1
2.008,1,1
2.01,1,1
2.012,1,1
2.014,1,1
2.016,1,1
2.018,1,1
2.02,1,1
2.022,1,1
2.024,1,1
2.026,1,1
2.028,1,1
2.03,1,1
2.032,1,1
2.034,1,1
2.036,1,1
2.038,1,1
2.04,1,1
2.042,1,1
2.044,1,1
2.046,1,1
2.048,1,1
2.05,1,1
2.052,1,1
2.054,1,1
2.056,1,1
2.058,1,1
2.06,1,1
2.062,1,1
2.064,1,1
2.066,1,1
2.068,1,1
2.07,1,1
2.072,1,1
2.074,1,1
2.076,1,1
2.078,1,1
2.08,1,1
2.082,1,1
2.084,1,1
2.086,1,1
2.088,1,1
2.09,1,1
2.092,1,1
2.094,1,1
2.096,1,1
2.098,1,1
2.1,1,1
2.102,1,1
2.104,1,1
2.106,1,1
2.108,1,1
2.11,1,1
2.112,1,1
2.114,1,1
2.116,1,1
2.118,1,1
2.12,1,1
2.122,1,1
2.124,1,1
2.126,1,1
2.128,1,1
2.13,1,1
2.132,1,1
2.134,1,1
2.136,1,1
2.138,1,1
2.14,1,1
2.142,1,1
2.144,1,1
2.146,1,1
2.148,1,1
2.15,1,1
2.152,1,1
2.154,1,1
2.156,1,1
2.158,1,1
2.16,1,1
2.162,1,1
2.164,1,1
2.166,1,1
2.168,1,1
2.17,1,1
2.172,1,1
2.174,1,1
2.176,1,1
2.178,1,1
2.18,1,1
2.182,1,1
2.184,1,1
2.186,1,1
2.188,1,1
2.19,1,1
2.192,1,1
2.194,1,1
2.196,1,1
2.198,1,1
2.2,1,1
2.202,1,1
2.204,1,1
2.206,1,1
2.208,1,1
2.21,1,1
2.212,1,1
2.214,1,1
2.216,1,1
2.218,1,1
2.22,1,1
2.222,1,1
2.224,1,1
2.226,1,1
2.228,1,1
2.23,1,1
2.232,1,1
2.234,1,1
2.236,1,1
2.238,1,1
2.24,1,1
2.242,1,1
2.244,1,1
2.246,1,1
2.248,1,1
2.25,1,1
2.252,1,1
2.254,1,1
2.256,1,1
2.258,1,1
2.26,1,1
2.262,1,1
2.264,1,1
2.266,1,1
2.268,1,1
2.27,1,1
2.272,1,1
2.274,1,1
2.276,1,1
2.278,1,1
2.28,1,1
2.282,1,1
2.284,1,1
2.286,1,1
2.288,1,1
2.29,1,1
2.292,1,1
2.294,1,1
2.296,1,1
2.298,1,1
2.3,1,1
2.302,1,1
2.304,1,1
2.306,1,1
2.308,1,1
2.31,1,1
2.312,1,1
2.314,1,1
2.316,1,1
2.318,1,1
2.32,1,1
2.322,1,1
2.324,1,1
2.326,1,1
2.328,1,1
2.33,1,1
2.332,1,1
2.334,1,1
2.336,1,1
2.338,1,1
2.34,1,1
2.342,1,1
2.344,1,1
2.346,1,1
2.348,1,1
2.35,1,1
2.352,1,1
2.354,1,1
2.356,1,1
2.358,1,1
2.36,1,1
2.362,1,1
2.364,1,1
2.366,1,1
2.368,1,1
2.37,1,1
2.372,1,1
2.374,1,1
2.376,1,1
2.378,1,1
2.38,1,1
2.382,1,1
2.384,1,1
2.386,1,1
2.388,1,1
2.39,1,1
2.392,1,1
2.394,1,1
2.396,1,1
2.398,1,1
2.4,1,1
2.402,1,1
2.404,1,1
2.406,1,1
2.408,1,1
2.41,1,1
2.412,1,1
2.414,1,1
2.416,1,1
2.418,1,1
2.42,1,1
2.422,1,1
2.424,1,1
2.426,1,1
2.428,1,1
2.43,1,1
2.432,1,1
2.434,1,1
2.436,1,1
2.438,1,1
2.44,1,1
2.442,1,1
2.444,1,1
2.446,1,1
2.448,1,1
2.45,1,1
2.452,1,1
2.454,1,1
2.456,1,1
2.458,1,1
2.46,1,1
2.462,1,1
2.464,1,1
2.466,1,1
2.468,1,1
2.47,1,1
2.472,1,1
2.474,1,1
2.476,1,1
2.478,1,1
2.48,1,1
2.482,1,1
2.484,1,1
2.486,1,1
2.488,1,1
2.49,1,1
2.492,1,1
