"time","dFFREGSRH.dataOut[1]","dFFREGSRH.dataOut[2]"
0,1,1
0.003,1,1
0.006,1,1
0.009,1,1
0.012,1,1
0.015,1,1
0.018,1,1
0.021,1,1
0.024,1,1
0.027,1,1
0.03,1,1
0.033,1,1
0.036,1,1
0.039,1,1
0.042,1,1
0.045,1,1
0.048,1,1
0.051,1,1
0.054,1,1
0.057,1,1
0.06,1,1
0.063,1,1
0.066,1,1
0.069,1,1
0.072,1,1
0.075,1,1
0.078,1,1
0.081,1,1
0.084,1,1
0.087,1,1
0.09,1,1
0.093,1,1
0.096,1,1
0.099,1,1
0.102,1,1
0.105,1,1
0.108,1,1
0.111,1,1
0.114,1,1
0.117,1,1
0.12,1,1
0.123,1,1
0.126,1,1
0.129,1,1
0.132,1,1
0.135,1,1
0.138,1,1
0.141,1,1
0.144,1,1
0.147,1,1
0.15,1,1
0.153,1,1
0.156,1,1
0.159,1,1
0.162,1,1
0.165,1,1
0.168,1,1
0.171,1,1
0.174,1,1
0.177,1,1
0.18,1,1
0.183,1,1
0.186,1,1
0.189,1,1
0.192,1,1
0.195,1,1
0.198,1,1
0.201,1,1
0.204,1,1
0.207,1,1
0.21,1,1
0.213,1,1
0.216,1,1
0.219,1,1
0.222,1,1
0.225,1,1
0.228,1,1
0.231,1,1
0.234,1,1
0.237,1,1
0.24,1,1
0.243,1,1
0.246,1,1
0.249,1,1
0.252,1,1
0.255,1,1
0.258,1,1
0.261,1,1
0.264,1,1
0.267,1,1
0.27,1,1
0.273,1,1
0.276,1,1
0.279,1,1
0.282,1,1
0.285,1,1
0.288,1,1
0.291,1,1
0.294,1,1
0.297,1,1
0.3,1,1
0.303,1,1
0.306,1,1
0.309,1,1
0.312,1,1
0.315,1,1
0.318,1,1
0.321,1,1
0.324,1,1
0.327,1,1
0.33,1,1
0.333,1,1
0.336,1,1
0.339,1,1
0.342,1,1
0.345,1,1
0.348,1,1
0.351,1,1
0.354,1,1
0.357,1,1
0.36,1,1
0.363,1,1
0.366,1,1
0.369,1,1
0.372,1,1
0.375,1,1
0.378,1,1
0.381,1,1
0.384,1,1
0.387,1,1
0.39,1,1
0.393,1,1
0.396,1,1
0.399,1,1
0.402,1,1
0.405,1,1
0.408,1,1
0.411,1,1
0.414,1,1
0.417,1,1
0.42,1,1
0.423,1,1
0.426,1,1
0.429,1,1
0.432,1,1
0.435,1,1
0.438,1,1
0.441,1,1
0.444,1,1
0.447,1,1
0.45,1,1
0.453,1,1
0.456,1,1
0.459,1,1
0.462,1,1
0.465,1,1
0.468,1,1
0.471,1,1
0.474,1,1
0.477,1,1
0.48,1,1
0.483,1,1
0.486,1,1
0.489,1,1
0.492,1,1
0.495,1,1
0.498,1,1
0.501,1,1
0.504,1,1
0.507,1,1
0.51,1,1
0.513,1,1
0.516,1,1
0.519,1,1
0.522,1,1
0.525,1,1
0.528,1,1
0.531,1,1
0.534,1,1
0.537,1,1
0.54,1,1
0.543,1,1
0.546,1,1
0.549,1,1
0.552,1,1
0.555,1,1
0.558,1,1
0.561,1,1
0.564,1,1
0.567,1,1
0.57,1,1
0.573,1,1
0.576,1,1
0.579,1,1
0.582,1,1
0.585,1,1
0.588,1,1
0.591,1,1
0.594,1,1
0.597,1,1
0.6,1,1
0.603,1,1
0.606,1,1
0.609,1,1
0.612,1,1
0.615,1,1
0.618,1,1
0.621,1,1
0.624,1,1
0.627,1,1
0.63,1,1
0.633,1,1
0.636,1,1
0.639,1,1
0.642,1,1
0.645,1,1
0.648,1,1
0.651,1,1
0.654,1,1
0.657,1,1
0.66,1,1
0.663,1,1
0.666,1,1
0.669,1,1
0.672,1,1
0.675,1,1
0.678,1,1
0.681,1,1
0.684,1,1
0.687,1,1
0.69,1,1
0.693,1,1
0.696,1,1
0.699,1,1
0.702,1,1
0.705,1,1
0.708,1,1
0.711,1,1
0.714,1,1
0.717,1,1
0.72,1,1
0.723,1,1
0.726,1,1
0.729,1,1
0.732,1,1
0.735,1,1
0.738,1,1
0.741,1,1
0.744,1,1
0.747,1,1
0.75,1,1
0.753,1,1
0.756,1,1
0.759,1,1
0.762,1,1
0.765,1,1
0.768,1,1
0.771,1,1
0.774,1,1
0.777,1,1
0.78,1,1
0.783,1,1
0.786,1,1
0.789,1,1
0.792,1,1
0.795,1,1
0.798,1,1
0.801,1,1
0.804,1,1
0.807,1,1
0.81,1,1
0.813,1,1
0.816,1,1
0.819,1,1
0.822,1,1
0.825,1,1
0.828,1,1
0.831,1,1
0.834,1,1
0.837,1,1
0.84,1,1
0.843,1,1
0.846,1,1
0.849,1,1
0.852,1,1
0.855,1,1
0.858,1,1
0.861,1,1
0.864,1,1
0.867,1,1
0.87,1,1
0.873,1,1
0.876,1,1
0.879,1,1
0.882,1,1
0.885,1,1
0.888,1,1
0.891,1,1
0.894,1,1
0.897,1,1
0.9,1,1
0.903,1,1
0.906,1,1
0.909,1,1
0.912,1,1
0.915,1,1
0.918,1,1
0.921,1,1
0.924,1,1
0.927,1,1
0.93,1,1
0.933,1,1
0.936,1,1
0.939,1,1
0.942,1,1
0.945,1,1
0.948,1,1
0.951,1,1
0.954,1,1
0.957,1,1
0.96,1,1
0.963,1,1
0.966,1,1
0.969,1,1
0.972,1,1
0.975,1,1
0.978,1,1
0.981,1,1
0.984,1,1
0.987,1,1
0.99,1,1
0.993,1,1
0.996,1,1
0.999,1,1
1,1,1
1,1,1
1.002,1,1
1.005,1,1
1.008,1,1
1.011,1,1
1.014,1,1
1.017,1,1
1.02,1,1
1.023,1,1
1.026,1,1
1.029,1,1
1.032,1,1
1.035,1,1
1.038,1,1
1.041,1,1
1.044,1,1
1.047,1,1
1.05,1,1
1.053,1,1
1.056,1,1
1.059,1,1
1.062,1,1
1.065,1,1
1.068,1,1
1.071,1,1
1.074,1,1
1.077,1,1
1.08,1,1
1.083,1,1
1.086,1,1
1.089,1,1
1.092,1,1
1.095,1,1
1.098,1,1
1.101,1,1
1.104,1,1
1.107,1,1
1.11,1,1
1.113,1,1
1.116,1,1
1.119,1,1
1.122,1,1
1.125,1,1
1.128,1,1
1.131,1,1
1.134,1,1
1.137,1,1
1.14,1,1
1.143,1,1
1.146,1,1
1.149,1,1
1.152,1,1
1.155,1,1
1.158,1,1
1.161,1,1
1.164,1,1
1.167,1,1
1.17,1,1
1.173,1,1
1.176,1,1
1.179,1,1
1.182,1,1
1.185,1,1
1.188,1,1
1.191,1,1
1.194,1,1
1.197,1,1
1.2,1,1
1.203,1,1
1.206,1,1
1.209,1,1
1.212,1,1
1.215,1,1
1.218,1,1
1.221,1,1
1.224,1,1
1.227,1,1
1.23,1,1
1.233,1,1
1.236,1,1
1.239,1,1
1.242,1,1
1.245,1,1
1.248,1,1
1.251,1,1
1.254,1,1
1.257,1,1
1.26,1,1
1.263,1,1
1.266,1,1
1.269,1,1
1.272,1,1
1.275,1,1
1.278,1,1
1.281,1,1
1.284,1,1
1.287,1,1
1.29,1,1
1.293,1,1
1.296,1,1
1.299,1,1
1.302,1,1
1.305,1,1
1.308,1,1
1.311,1,1
1.314,1,1
1.317,1,1
1.32,1,1
1.323,1,1
1.326,1,1
1.329,1,1
1.332,1,1
1.335,1,1
1.338,1,1
1.341,1,1
1.344,1,1
1.347,1,1
1.35,1,1
1.353,1,1
1.356,1,1
1.359,1,1
1.362,1,1
1.365,1,1
1.368,1,1
1.371,1,1
1.374,1,1
1.377,1,1
1.38,1,1
1.383,1,1
1.386,1,1
1.389,1,1
1.392,1,1
1.395,1,1
1.398,1,1
1.401,1,1
1.404,1,1
1.407,1,1
1.41,1,1
1.413,1,1
1.416,1,1
1.419,1,1
1.422,1,1
1.425,1,1
1.428,1,1
1.431,1,1
1.434,1,1
1.437,1,1
1.44,1,1
1.443,1,1
1.446,1,1
1.449,1,1
1.452,1,1
1.455,1,1
1.458,1,1
1.461,1,1
1.464,1,1
1.467,1,1
1.47,1,1
1.473,1,1
1.476,1,1
1.479,1,1
1.482,1,1
1.485,1,1
1.488,1,1
1.491,1,1
1.494,1,1
1.497,1,1
1.5,1,1
1.503,1,1
1.506,1,1
1.509,1,1
1.512,1,1
1.515,1,1
1.518,1,1
1.521,1,1
1.524,1,1
1.527,1,1
1.53,1,1
1.533,1,1
1.536,1,1
1.539,1,1
1.542,1,1
1.545,1,1
1.548,1,1
1.551,1,1
1.554,1,1
1.557,1,1
1.56,1,1
1.563,1,1
1.566,1,1
1.569,1,1
1.572,1,1
1.575,1,1
1.578,1,1
1.581,1,1
1.584,1,1
1.587,1,1
1.59,1,1
1.593,1,1
1.596,1,1
1.599,1,1
1.602,1,1
1.605,1,1
1.608,1,1
1.611,1,1
1.614,1,1
1.617,1,1
1.62,1,1
1.623,1,1
1.626,1,1
1.629,1,1
1.632,1,1
1.635,1,1
1.638,1,1
1.641,1,1
1.644,1,1
1.647,1,1
1.65,1,1
1.653,1,1
1.656,1,1
1.659,1,1
1.662,1,1
1.665,1,1
1.668,1,1
1.671,1,1
1.674,1,1
1.677,1,1
1.68,1,1
1.683,1,1
1.686,1,1
1.689,1,1
1.692,1,1
1.695,1,1
1.698,1,1
1.701,1,1
1.704,1,1
1.707,1,1
1.71,1,1
1.713,1,1
1.716,1,1
1.719,1,1
1.722,1,1
1.725,1,1
1.728,1,1
1.731,1,1
1.734,1,1
1.737,1,1
1.74,1,1
1.743,1,1
1.746,1,1
1.749,1,1
1.752,1,1
1.755,1,1
1.758,1,1
1.761,1,1
1.764,1,1
1.767,1,1
1.77,1,1
1.773,1,1
1.776,1,1
1.779,1,1
1.782,1,1
1.785,1,1
1.788,1,1
1.791,1,1
1.794,1,1
1.797,1,1
1.8,1,1
1.803,1,1
1.806,1,1
1.809,1,1
1.812,1,1
1.815,1,1
1.818,1,1
1.821,1,1
1.824,1,1
1.827,1,1
1.83,1,1
1.833,1,1
1.836,1,1
1.839,1,1
1.842,1,1
1.845,1,1
1.848,1,1
1.851,1,1
1.854,1,1
1.857,1,1
1.86,1,1
1.863,1,1
1.866,1,1
1.869,1,1
1.872,1,1
1.875,1,1
1.878,1,1
1.881,1,1
1.884,1,1
1.887,1,1
1.89,1,1
1.893,1,1
1.896,1,1
1.899,1,1
1.902,1,1
1.905,1,1
1.908,1,1
1.911,1,1
1.914,1,1
1.917,1,1
1.92,1,1
1.923,1,1
1.926,1,1
1.929,1,1
1.932,1,1
1.935,1,1
1.938,1,1
1.941,1,1
1.944,1,1
1.947,1,1
1.95,1,1
1.953,1,1
1.956,1,1
1.959,1,1
1.962,1,1
1.965,1,1
1.968,1,1
1.971,1,1
1.974,1,1
1.977,1,1
1.98,1,1
1.983,1,1
1.986,1,1
1.989,1,1
1.992,1,1
1.995,1,1
1.998,1,1
2,1,1
2,1,1
2.001,1,1
2.004,1,1
2.007,1,1
2.01,1,1
2.013,1,1
2.016,1,1
2.019,1,1
2.022,1,1
2.025,1,1
2.028,1,1
2.031,1,1
2.034,1,1
2.037,1,1
2.04,1,1
2.043,1,1
2.046,1,1
2.049,1,1
2.052,1,1
2.055,1,1
2.058,1,1
2.061,1,1
2.064,1,1
2.067,1,1
2.07,1,1
2.073,1,1
2.076,1,1
2.079,1,1
2.082,1,1
2.085,1,1
2.088,1,1
2.091,1,1
2.094,1,1
2.097,1,1
2.1,1,1
2.103,1,1
2.106,1,1
2.109,1,1
2.112,1,1
2.115,1,1
2.118,1,1
2.121,1,1
2.124,1,1
2.127,1,1
2.13,1,1
2.133,1,1
2.136,1,1
2.139,1,1
2.142,1,1
2.145,1,1
2.148,1,1
2.151,1,1
2.154,1,1
2.157,1,1
2.16,1,1
2.163,1,1
2.166,1,1
2.169,1,1
2.172,1,1
2.175,1,1
2.178,1,1
2.181,1,1
2.184,1,1
2.187,1,1
2.19,1,1
2.193,1,1
2.196,1,1
2.199,1,1
2.202,1,1
2.205,1,1
2.208,1,1
2.211,1,1
2.214,1,1
2.217,1,1
2.22,1,1
2.223,1,1
2.226,1,1
2.229,1,1
2.232,1,1
2.235,1,1
2.238,1,1
2.241,1,1
2.244,1,1
2.247,1,1
2.25,1,1
2.253,1,1
2.256,1,1
2.259,1,1
2.262,1,1
2.265,1,1
2.268,1,1
2.271,1,1
2.274,1,1
2.277,1,1
2.28,1,1
2.283,1,1
2.286,1,1
2.289,1,1
2.292,1,1
2.295,1,1
2.298,1,1
2.301,1,1
2.304,1,1
2.307,1,1
2.31,1,1
2.313,1,1
2.316,1,1
2.319,1,1
2.322,1,1
2.325,1,1
2.328,1,1
2.331,1,1
2.334,1,1
2.337,1,1
2.34,1,1
2.343,1,1
2.346,1,1
2.349,1,1
2.352,1,1
2.355,1,1
2.358,1,1
2.361,1,1
2.364,1,1
2.367,1,1
2.37,1,1
2.373,1,1
2.376,1,1
2.379,1,1
2.382,1,1
2.385,1,1
2.388,1,1
2.391,1,1
2.394,1,1
2.397,1,1
2.4,1,1
2.403,1,1
2.406,1,1
2.409,1,1
2.412,1,1
2.415,1,1
2.418,1,1
2.421,1,1
2.424,1,1
2.427,1,1
2.43,1,1
2.433,1,1
2.436,1,1
2.439,1,1
2.442,1,1
2.445,1,1
2.448,1,1
2.451,1,1
2.454,1,1
2.457,1,1
2.46,1,1
2.463,1,1
2.466,1,1
2.469,1,1
2.472,1,1
2.475,1,1
2.478,1,1
2.481,1,1
2.484,1,1
2.487,1,1
2.49,1,1
2.493,1,1
2.496,1,1
2.499,1,1
2.502,1,1
2.505,1,1
2.508,1,1
2.511,1,1
2.514,1,1
2.517,1,1
2.52,1,1
2.523,1,1
2.526,1,1
2.529,1,1
2.532,1,1
2.535,1,1
2.538,1,1
2.541,1,1
2.544,1,1
2.547,1,1
2.55,1,1
2.553,1,1
2.556,1,1
2.559,1,1
2.562,1,1
2.565,1,1
2.568,1,1
2.571,1,1
2.574,1,1
2.577,1,1
2.58,1,1
2.583,1,1
2.586,1,1
2.589,1,1
2.592,1,1
2.595,1,1
2.598,1,1
2.601,1,1
2.604,1,1
2.607,1,1
2.61,1,1
2.613,1,1
2.616,1,1
2.619,1,1
2.622,1,1
2.625,1,1
2.628,1,1
2.631,1,1
2.634,1,1
2.637,1,1
2.64,1,1
2.643,1,1
2.646,1,1
2.649,1,1
2.652,1,1
2.655,1,1
2.658,1,1
2.661,1,1
2.664,1,1
2.667,1,1
2.67,1,1
2.673,1,1
2.676,1,1
2.679,1,1
2.682,1,1
2.685,1,1
2.688,1,1
2.691,1,1
2.694,1,1
2.697,1,1
2.7,1,1
2.703,1,1
2.706,1,1
2.709,1,1
2.712,1,1
2.715,1,1
2.718,1,1
2.721,1,1
2.724,1,1
2.727,1,1
2.73,1,1
2.733,1,1
2.736,1,1
2.739,1,1
2.742,1,1
2.745,1,1
2.748,1,1
2.751,1,1
2.754,1,1
2.757,1,1
2.76,1,1
2.763,1,1
2.766,1,1
2.769,1,1
2.772,1,1
2.775,1,1
2.778,1,1
2.781,1,1
2.784,1,1
2.787,1,1
2.79,1,1
2.793,1,1
2.796,1,1
2.799,1,1
2.802,1,1
2.805,1,1
2.808,1,1
2.811,1,1
2.814,1,1
2.817,1,1
2.82,1,1
2.823,1,1
2.826,1,1
2.829,1,1
2.832,1,1
2.835,1,1
2.838,1,1
2.841,1,1
2.844,1,1
2.847,1,1
2.85,1,1
2.853,1,1
2.856,1,1
2.859,1,1
2.862,1,1
2.865,1,1
2.868,1,1
2.871,1,1
2.874,1,1
2.877,1,1
2.88,1,1
2.883,1,1
2.886,1,1
2.889,1,1
2.892,1,1
2.895,1,1
2.898,1,1
2.901,1,1
2.904,1,1
2.907,1,1
2.91,1,1
2.913,1,1
2.916,1,1
2.919,1,1
2.922,1,1
2.925,1,1
2.928,1,1
2.931,1,1
2.934,1,1
2.937,1,1
2.94,1,1
2.943,1,1
2.946,1,1
2.949,1,1
2.952,1,1
2.955,1,1
2.958,1,1
2.961,1,1
2.964,1,1
2.967,1,1
2.97,1,1
2.973,1,1
2.976,1,1
2.979,1,1
2.982,1,1
2.985,1,1
2.988,1,1
2.991,1,1
2.994,1,1
2.997,1,1
3,1,1
3,3,3
3.003,3,3
3.006,3,3
3.009,3,3
3.012,3,3
3.015,3,3
3.018,3,3
3.021,3,3
3.024,3,3
3.027,3,3
3.03,3,3
3.033,3,3
3.036,3,3
3.039,3,3
3.042,3,3
3.045,3,3
3.048,3,3
3.051,3,3
3.054,3,3
3.057,3,3
3.06,3,3
3.063,3,3
3.066,3,3
3.069,3,3
3.072,3,3
3.075,3,3
3.078,3,3
3.081,3,3
3.084,3,3
3.087,3,3
3.09,3,3
3.093,3,3
3.096,3,3
3.099,3,3
3.102,3,3
3.105,3,3
3.108,3,3
3.111,3,3
3.114,3,3
3.117,3,3
3.12,3,3
3.123,3,3
3.126,3,3
3.129,3,3
3.132,3,3
3.135,3,3
3.138,3,3
3.141,3,3
3.144,3,3
3.147,3,3
3.15,3,3
3.153,3,3
3.156,3,3
3.159,3,3
3.162,3,3
3.165,3,3
3.168,3,3
3.171,3,3
3.174,3,3
3.177,3,3
3.18,3,3
3.183,3,3
3.186,3,3
3.189,3,3
3.192,3,3
3.195,3,3
3.198,3,3
3.201,3,3
3.204,3,3
3.207,3,3
3.21,3,3
3.213,3,3
3.216,3,3
3.219,3,3
3.222,3,3
3.225,3,3
3.228,3,3
3.231,3,3
3.234,3,3
3.237,3,3
3.24,3,3
3.243,3,3
3.246,3,3
3.249,3,3
3.252,3,3
3.255,3,3
3.258,3,3
3.261,3,3
3.264,3,3
3.267,3,3
3.27,3,3
3.273,3,3
3.276,3,3
3.279,3,3
3.282,3,3
3.285,3,3
3.288,3,3
3.291,3,3
3.294,3,3
3.297,3,3
3.3,3,3
3.303,3,3
3.306,3,3
3.309,3,3
3.312,3,3
3.315,3,3
3.318,3,3
3.321,3,3
3.324,3,3
3.327,3,3
3.33,3,3
3.333,3,3
3.336,3,3
3.339,3,3
3.342,3,3
3.345,3,3
3.348,3,3
3.351,3,3
3.354,3,3
3.357,3,3
3.36,3,3
3.363,3,3
3.366,3,3
3.369,3,3
3.372,3,3
3.375,3,3
3.378,3,3
3.381,3,3
3.384,3,3
3.387,3,3
3.39,3,3
3.393,3,3
3.396,3,3
3.399,3,3
3.402,3,3
3.405,3,3
3.408,3,3
3.411,3,3
3.414,3,3
3.417,3,3
3.42,3,3
3.423,3,3
3.426,3,3
3.429,3,3
3.432,3,3
3.435,3,3
3.438,3,3
3.441,3,3
3.444,3,3
3.447,3,3
3.45,3,3
3.453,3,3
3.456,3,3
3.459,3,3
3.462,3,3
3.465,3,3
3.468,3,3
3.471,3,3
3.474,3,3
3.477,3,3
3.48,3,3
3.483,3,3
3.486,3,3
3.489,3,3
3.492,3,3
3.495,3,3
3.498,3,3
3.501,3,3
3.504,3,3
3.507,3,3
3.51,3,3
3.513,3,3
3.516,3,3
3.519,3,3
3.522,3,3
3.525,3,3
3.528,3,3
3.531,3,3
3.534,3,3
3.537,3,3
3.54,3,3
3.543,3,3
3.546,3,3
3.549,3,3
3.552,3,3
3.555,3,3
3.558,3,3
3.561,3,3
3.564,3,3
3.567,3,3
3.57,3,3
3.573,3,3
3.576,3,3
3.579,3,3
3.582,3,3
3.585,3,3
3.588,3,3
3.591,3,3
3.594,3,3
3.597,3,3
3.6,3,3
3.603,3,3
3.606,3,3
3.609,3,3
3.612,3,3
3.615,3,3
3.618,3,3
3.621,3,3
3.624,3,3
3.627,3,3
3.63,3,3
3.633,3,3
3.636,3,3
3.639,3,3
3.642,3,3
3.645,3,3
3.648,3,3
3.651,3,3
3.654,3,3
3.657,3,3
3.66,3,3
3.663,3,3
3.666,3,3
3.669,3,3
3.672,3,3
3.675,3,3
3.678,3,3
3.681,3,3
3.684,3,3
3.687,3,3
3.69,3,3
3.693,3,3
3.696,3,3
3.699,3,3
3.702,3,3
3.705,3,3
3.708,3,3
3.711,3,3
3.714,3,3
3.717,3,3
3.72,3,3
3.723,3,3
3.726,3,3
3.729,3,3
3.732,3,3
3.735,3,3
3.738,3,3
3.741,3,3
3.744,3,3
3.747,3,3
3.75,3,3
3.753,3,3
3.756,3,3
3.759,3,3
3.762,3,3
3.765,3,3
3.768,3,3
3.771,3,3
3.774,3,3
3.777,3,3
3.78,3,3
3.783,3,3
3.786,3,3
3.789,3,3
3.792,3,3
3.795,3,3
3.798,3,3
3.801,3,3
3.804,3,3
3.807,3,3
3.81,3,3
3.813,3,3
3.816,3,3
3.819,3,3
3.822,3,3
3.825,3,3
3.828,3,3
3.831,3,3
3.834,3,3
3.837,3,3
3.84,3,3
3.843,3,3
3.846,3,3
3.849,3,3
3.852,3,3
3.855,3,3
3.858,3,3
3.861,3,3
